Date,Open,High,Low,Close,Adj Close,Volume
2019-04-29,5.550000,5.590000,5.440000,5.540000,5.540000,17089400
2019-04-30,5.570000,5.660000,5.520000,5.580000,5.580000,10245900
2019-05-01,5.560000,5.620000,5.460000,5.560000,5.560000,13622200
2019-05-02,5.570000,5.630000,5.450000,5.480000,5.480000,20036800
2019-05-03,5.500000,5.800000,5.500000,5.800000,5.800000,26888700
2019-05-06,5.670000,5.750000,5.600000,5.740000,5.740000,12324800
2019-05-07,5.700000,5.840000,5.690000,5.790000,5.790000,26294600
2019-05-08,5.660000,5.670000,5.550000,5.620000,5.620000,18029100
2019-05-09,5.580000,5.990000,5.580000,5.980000,5.980000,22318000
2019-05-10,5.930000,6.190000,5.860000,6.190000,6.190000,20970400
2019-05-13,6.020000,6.280000,5.900000,6.020000,6.020000,23873100
2019-05-14,6.020000,6.030000,5.870000,5.990000,5.990000,16112900
2019-05-15,5.950000,6.100000,5.900000,6.070000,6.070000,13365800
2019-05-16,6.040000,6.200000,5.990000,6.080000,6.080000,24185100
2019-05-17,6.060000,6.240000,6.000000,6.180000,6.180000,28874800
2019-05-20,7.790000,7.900000,6.800000,7.340000,7.340000,166194700
2019-05-21,7.190000,7.340000,7.120000,7.220000,7.220000,51751500
2019-05-22,7.030000,7.090000,6.580000,6.670000,6.670000,52396000
2019-05-23,6.900000,7.040000,6.720000,6.950000,6.950000,37122200
2019-05-24,7.010000,7.270000,6.840000,7.160000,7.160000,21663700
2019-05-28,7.150000,7.170000,6.900000,6.910000,6.910000,27473400
2019-05-29,6.940000,6.950000,6.770000,6.800000,6.800000,17142700
2019-05-30,6.730000,7.160000,6.580000,7.160000,7.160000,38941800
2019-05-31,7.030000,7.120000,6.770000,6.870000,6.870000,28905000
2019-06-03,6.870000,6.970000,6.580000,6.780000,6.780000,19760400
2019-06-04,6.860000,7.010000,6.820000,6.980000,6.980000,20298000
2019-06-05,7.010000,7.140000,6.910000,7.070000,7.070000,20166000
2019-06-06,7.040000,7.140000,6.770000,6.980000,6.980000,17039100
2019-06-07,6.990000,7.180000,6.970000,7.100000,7.100000,13350200
2019-06-10,7.130000,7.210000,6.960000,6.990000,6.990000,11478400
2019-06-11,6.990000,7.020000,6.480000,6.580000,6.580000,36177000
2019-06-12,6.600000,6.850000,6.540000,6.630000,6.630000,34770600
2019-06-13,6.590000,6.830000,6.530000,6.810000,6.810000,25366000
2019-06-14,6.760000,7.240000,6.730000,7.010000,7.010000,33156900
2019-06-17,7.030000,7.140000,6.990000,7.100000,7.100000,21127300
2019-06-18,7.150000,7.320000,7.140000,7.230000,7.230000,33587600
2019-06-19,7.270000,7.500000,7.160000,7.450000,7.450000,24037400
2019-06-20,7.470000,7.540000,7.190000,7.400000,7.400000,21186900
2019-06-21,7.270000,7.280000,6.800000,6.870000,6.870000,30240600
2019-06-24,6.970000,7.000000,6.830000,6.840000,6.840000,14101400
